Movie,"Release
Date",Distributor,"MPAA
Rating",Domestic Gross,"Inflation-Adjusted
Gross",Genre
Bon Voyage!,1962-05-17,Walt Disney,Not Rated,9230769,104043955,Comedy
Alfie,1966-08-24,Paramount Pictures,PG,18871300,136600509,Comedy
The Two of Us,1968-02-19,Rialto Pictures,Not Rated,50710,305422,Comedy
Candy,1968-12-17,Sony Pictures,R,16408286,98825477,Comedy
Bananas,1971-04-28,MGM,PG-13,0,0,Comedy
The Lord's of Flatbush,1974-05-01,Sony Pictures,PG,0,0,Comedy
National Lampoon's Animal House,1978-07-28,Universal,R,141600000,477446158,Comedy
The Life of Brian,1979-08-17,Warner Bros.,Not Rated,20008693,25683954,Comedy
Roadie,1980-06-13,United Artists,R,4226370,2939719,Comedy
Stripes,1981-06-26,Columbia,R,85300000,236527903,Comedy
The Last American Virgin,1982-08-04,Cannon,R,5829781,15645231,Comedy
National Lampoon's Class Reunion,1982-10-29,20th Century Fox,R,16550727,26982056,Comedy
They Call Me Bruce,1982-11-12,Artists Releasing Corporation,PG,12925437,33237280,Comedy
Zelig,1983-07-15,Orion Pictures,PG,11798616,29552721,Comedy
The Man Who Wasn't There,1983-08-12,USA Films,R,2315505,5799789,Comedy
A Christmas Story,1983-11-18,MGM,PG,20605209,41861042,Comedy
Weekend Pass,1984-02-03,Crown,R,21058033,49448776,Comedy
Ghostbusters,1984-06-08,Sony Pictures,PG,238632124,518616036,Comedy
The Brother from Another Planet,1984-09-07,Cinecom,R,3700000,7430171,Comedy
National Lampoon's European Vacation,1985-07-26,Warner Bros.,PG-13,49400000,109714608,Comedy
Running Scared,1986-06-27,MGM,R,38500726,72434208,Comedy
Brighton Beach Memoirs,1986-12-25,Universal,PG-13,11957943,6609201,Comedy
La ley del deseo,1987-04-03,Cinevista,NC-17,0,0,Comedy
Surrender,1987-10-09,Warner Bros.,R,5711976,8033346,Comedy
Mujeres al borde de un ataque de nervios,1988-11-11,Sony Pictures Classics,R,7179000,13781581,Comedy
Dirty Rotten Scoundrels,1988-12-14,Orion Pictures,PG,42039000,70763406,Comedy
Skin Deep,1989-03-03,20th Century Fox,R,19000000,35883428,Comedy
Checking Out,1989-04-21,Warner Bros.,PG-13,31000,61297,Comedy
Loverboy,1989-04-28,Sony Pictures,R,3887852,7169990,Comedy
Ghostbusters II,1989-06-16,Sony Pictures,PG,112494738,217520365,Comedy
National Lampoon's Christmas Vacation,1989-12-01,Warner Bros.,PG-13,71319546,123048779,Comedy
Madhouse,1990-02-16,Orion Pictures,R,20438179,35044476,Comedy
A Shock to the System,1990-03-23,Corsair,R,3417056,1873701,Comedy
Book of Love,1990-10-31,New Line,R,1382259,2584370,Comedy
Home Alone,1990-11-16,20th Century Fox,PG,285761243,519397359,Comedy
Proof,1991-01-01,Fine Line,PG-13,524000,982037,Comedy
Oscar,1991-04-26,Walt Disney,PG,23562716,39040690,Comedy
Delirious,1991-08-07,MGM,Not Rated,4755853,8912986,Comedy
Mistress,1992-01-01,Rainbow Releasing,R,1102469,2096018,Comedy
Wayne's World,1992-02-14,Paramount Pictures,PG-13,121697323,226913710,Comedy
Straight Talk,1992-04-03,Walt Disney,PG,21202099,18009256,Comedy
HouseSitter,1992-06-12,Universal,PG,58500635,81454277,Comedy
Stay Tuned,1992-08-14,Warner Bros.,PG,10736401,13460340,Comedy
Captain Ron,1992-09-18,Walt Disney,PG-13,22518097,31794183,Comedy
Singles,1992-09-18,Warner Bros.,PG-13,18471850,23005331,Comedy
Husbands and Wives,1992-09-18,Sony Pictures,R,10555619,12074438,Comedy
The Mighty Ducks,1992-10-02,Walt Disney,PG,50752337,94637441,Comedy
Aladdin,1992-11-11,Walt Disney,G,217350219,396978825,Comedy
Home Alone 2: Lost in New York,1992-11-20,20th Century Fox,PG,173585516,323323797,Comedy
Used People,1992-12-16,20th Century Fox,PG-13,17957265,34140440,Comedy
Toys,1992-12-18,20th Century Fox,PG-13,21452082,34516809,Comedy
Matinee,1993-01-29,Universal,PG,8925775,12443280,Comedy
Loaded Weapon 1,1993-02-05,New Line,PG-13,27979399,49029139,Comedy
Groundhog Day,1993-02-12,Sony Pictures,PG,70906973,130556051,Comedy
Mad Dog and Glory,1993-03-05,Universal,R,10688490,13038209,Comedy
Cop and ½,1993-04-02,Universal,PG,31226971,54157473,Comedy
Jack the Bear,1993-04-02,20th Century Fox,PG-13,4796751,4230665,Comedy
The Sandlot,1993-04-07,20th Century Fox,PG,32416586,46884250,Comedy
Indian Summer,1993-04-23,Walt Disney,R,14717851,22793397,Comedy
Lost in Yonkers,1993-05-14,Sony Pictures,PG,9285189,10958705,Comedy
Dennis the Menace,1993-06-25,Warner Bros.,PG,51270765,79111839,Comedy
Son in Law,1993-07-02,Walt Disney,PG-13,25989889,49531455,Comedy
Coneheads,1993-07-23,Paramount Pictures,PG,21153686,27601808,Comedy
Robin Hood: Men in Tights,1993-07-28,20th Century Fox,PG-13,35699287,46394336,Comedy
Airborne,1993-09-17,Warner Bros.,R,2859811,5450223,Comedy
The Beverly Hillbillies,1993-10-15,20th Century Fox,PG,42222647,80615886,Comedy
Mrs. Doubtfire,1993-11-24,20th Century Fox,PG-13,219195051,419486502,Comedy
Beethoven's 2nd,1993-12-17,Universal,PG,52636940,77964640,Comedy
The Air Up There,1994-01-07,Walt Disney,PG,20782439,21219177,Comedy
Cabin Boy,1994-01-07,Walt Disney,PG-13,3469493,5233003,Comedy
House Party 3,1994-01-12,New Line,R,19194572,24475522,Comedy
"Car 54, Where Are You?",1994-01-28,Orion Pictures,PG-13,1238080,2394228,Comedy
Ace Ventura: Pet Detective,1994-02-04,Warner Bros.,PG-13,72217396,138465902,Comedy
My Father the Hero,1994-02-04,Miramax,PG,25479558,37385731,Comedy
I'll Do Anything,1994-02-04,Sony Pictures,PG-13,10209111,9094046,Comedy
Blank Check,1994-02-11,Walt Disney,PG,30573770,57392791,Comedy
My Girl 2,1994-02-11,Sony Pictures,PG,16559100,21025580,Comedy
Greedy,1994-03-04,Universal,PG-13,13137484,21602702,Comedy
Angie,1994-03-04,Walt Disney,R,9252349,11596572,Comedy
Sirens,1994-03-04,Miramax,R,7770731,6941133,Comedy
The Ref,1994-03-09,Walt Disney,R,11325885,12357563,Comedy
The Hudsucker Proxy,1994-03-11,Warner Bros.,PG,2816518,5446648,Comedy
Naked Gun 33 1/3: The Final Insult,1994-03-18,Paramount Pictures,PG-13,51041856,98287166,Comedy
The Paper,1994-03-18,Universal,R,36768310,70747949,Comedy
Monkey Trouble,1994-03-18,New Line,PG,16344520,15112616,Comedy
D2: The Mighty Ducks,1994-03-25,Walt Disney,PG,45604206,86696630,Comedy
Major League II,1994-03-30,Warner Bros.,PG,30626182,47013646,Comedy
Jimmy Hollywood,1994-03-30,Paramount Pictures,R,3670865,7098807,Comedy
Clifford,1994-04-01,Orion Pictures,PG,7347669,10603126,Comedy
Threesome,1994-04-08,Sony Pictures,R,14793701,20573980,Comedy
Serial Mom,1994-04-13,Savoy,R,7881335,3987022,Comedy
Cops and Robbersons,1994-04-15,Sony Pictures,PG,11363618,13487347,Comedy
The Inkwell,1994-04-22,Walt Disney,R,8864699,11584295,Comedy
Chasers,1994-04-22,Warner Bros.,R,1596700,3087736,Comedy
PCU,1994-04-29,20th Century Fox,PG-13,4333569,4118043,Comedy
Clean Slate,1994-05-06,MGM,PG-13,7352116,12363946,Comedy
Being Human,1994-05-06,Warner Bros.,PG-13,1461200,2825701,Comedy
Crooklyn,1994-05-13,Universal,PG-13,13024170,21939044,Comedy
Even Cowgirls Get the Blues,1994-05-18,Fine Line,R,1649796,1309156,Comedy
The Flintstones,1994-05-27,Universal,PG,130531208,242479378,Comedy
Renaissance Man,1994-06-03,Walt Disney,PG-13,24172899,46068621,Comedy
The Cowboy Way,1994-06-03,Universal,PG-13,19731505,30241691,Comedy
City Slickers II: The Legend of Curly's Gold,1994-06-10,Sony Pictures,PG-13,43440947,58817031,Comedy
Getting Even With Dad,1994-06-17,MGM,PG,18195538,21769607,Comedy
Little Big League,1994-06-29,Sony Pictures,PG,12124754,7760612,Comedy
Baby's Day Out,1994-07-01,20th Century Fox,PG,16581575,16982389,Comedy
Angels in the Outfield,1994-07-15,Walt Disney,PG,50236831,96179779,Comedy
North,1994-07-22,Sony Pictures,PG,6583223,5871186,Comedy
The Mask,1994-07-29,New Line,PG-13,119920129,231688943,Comedy
Eat Drink Man Woman,1994-08-03,Goldwyn Entertainment,Not Rated,7294403,13592450,Comedy
The Little Rascals,1994-08-05,Universal,PG,51764950,99048535,Comedy
Airheads,1994-08-05,20th Century Fox,PG-13,5021868,3696962,Comedy
"The Adventures of Priscilla, Queen of the Desert",1994-08-10,Gramercy,R,11059000,20606565,Comedy
In the Army Now,1994-08-12,Walt Disney,PG,28881266,55851274,Comedy
"Corrina, Corrina",1994-08-12,New Line,PG,20146496,37618076,Comedy
Blankman,1994-08-19,Sony Pictures,PG-13,7395486,7185084,Comedy
Camp Nowhere,1994-08-26,Walt Disney,PG,10442641,20186770,Comedy
Police Academy 7: Mission to Moscow,1994-08-26,Warner Bros.,PG,126247,244140,Comedy
A Good Man in Africa,1994-09-09,Gramercy,R,2308390,4464020,Comedy
Ed Wood,1994-09-30,Walt Disney,R,5828466,11131038,Comedy
The Scout,1994-09-30,20th Century Fox,PG-13,2667163,2821133,Comedy
Little Giants,1994-10-14,Warner Bros.,PG,19306362,37320986,Comedy
Exit to Eden,1994-10-14,Savoy,R,6813570,13176245,Comedy
Clerks,1994-10-19,Miramax,R,3073428,5458113,Comedy
Bullets Over Broadway,1994-10-21,Miramax,R,13383747,24980419,Comedy
Radioland Murders,1994-10-21,Universal,PG,1299060,1615848,Comedy
The Road to Wellville,1994-10-28,Sony Pictures,R,6487257,12545210,Comedy
The Santa Clause,1994-11-11,Walt Disney,PG,144833357,278999197,Comedy
Junior,1994-11-23,Universal,PG-13,36763355,70299679,Comedy
Trapped in Paradise,1994-12-02,20th Century Fox,PG-13,6017509,11257752,Comedy
Dumb & Dumber,1994-12-16,New Line,PG-13,127175374,238585363,Comedy
Ri¢hie Ri¢h,1994-12-21,Warner Bros.,PG,38087756,71834955,Comedy
Mixed Nuts,1994-12-21,Sony Pictures,PG-13,6670176,12697724,Comedy
Pr?t-?-Porter,1994-12-25,Miramax,R,11300653,21077993,Comedy
Houseguest,1995-01-06,Walt Disney,PG,26325256,47727691,Comedy
Fresa y chocolate,1995-01-20,Miramax,R,1918424,3479624,Comedy
The Jerky Boys,1995-02-03,Walt Disney,R,7555256,13703668,Comedy
Billy Madison,1995-02-10,Universal,PG-13,25460475,46145162,Comedy
The Brady Bunch Movie,1995-02-17,Paramount Pictures,PG-13,46546167,84400727,Comedy
Heavy Weights,1995-02-17,Walt Disney,PG,17671310,32035475,Comedy
Mr. Payback: An Interactive Movie,1995-02-17,Interfilm,PG-13,144961,262926,Comedy
Man of the House,1995-03-03,Walt Disney,PG,40029009,72604340,Comedy
Roommates,1995-03-03,Walt Disney,PG,12076989,21645694,Comedy
Muriel's Wedding,1995-03-10,Miramax,R,15185000,27394080,Comedy
Bye Bye Love,1995-03-17,20th Century Fox,PG-13,12073560,21692056,Comedy
Major Payne,1995-03-24,Universal,PG-13,29412050,53301613,Comedy
Tommy Boy,1995-03-31,Paramount Pictures,PG-13,32648673,59198489,Comedy
Funny Bones,1995-03-31,Walt Disney,R,529135,884193,Comedy
A Goofy Movie,1995-04-07,Walt Disney,G,35336439,64069356,Comedy
Jury Duty,1995-04-12,Sony Pictures,PG-13,16941552,30702815,Comedy
Stuart Saves His Family,1995-04-12,Paramount Pictures,PG-13,911310,1470586,Comedy
Swimming with Sharks,1995-04-21,Trimark,R,376928,564372,Comedy
Friday,1995-04-26,New Line,R,27467564,49715182,Comedy
Destiny Turns on the Radio,1995-04-28,Savoy,R,1173149,1952672,Comedy
"The Englishman Who Went Up a Hill, But Came Down a Mountain",1995-05-12,Miramax,PG,10904930,19738839,Comedy
Gordy,1995-05-12,Miramax,G,3941146,7077156,Comedy
The Perez Family,1995-05-12,Goldwyn Entertainment,R,2794056,4841667,Comedy
Casper,1995-05-26,Universal,PG,100328194,181809862,Comedy
Love & Human Remains,1995-06-02,Sony Pictures Classics,R,542985,851157,Comedy
Lie Down with Dogs,1995-06-30,Miramax,R,240280,385498,Comedy
Clueless,1995-07-01,Paramount Pictures,PG-13,56598476,102653989,Comedy
Nine Months,1995-07-14,20th Century Fox,PG-13,69660733,126223652,Comedy
Living in Oblivion,1995-07-14,Sony Pictures Classics,R,1111790,1892835,Comedy
Double Happiness,1995-07-28,Fine Line,PG-13,560491,796614,Comedy
Something to Talk About,1995-08-04,Warner Bros.,R,50865589,92205625,Comedy
Bushwhacked,1995-08-04,20th Century Fox,PG-13,7377107,13345517,Comedy
The Baby-Sitters Club,1995-08-18,Sony Pictures,PG,9574155,17365535,Comedy
Dr. Jekyll and Ms. Hyde,1995-08-25,Savoy,PG-13,2739002,4937065,Comedy
"To Wong Foo Thanks for Everything, Julie Newmar",1995-09-08,Universal,PG-13,36466570,66063222,Comedy
National Lampoon's Senior Trip,1995-09-08,New Line,R,4686937,8472874,Comedy
Angus,1995-09-15,New Line,PG-13,4812891,8690109,Comedy
Coldblooded,1995-09-15,IRS Releasing,R,8423,15275,Comedy
Empire Records,1995-09-22,Warner Bros.,PG-13,303841,533033,Comedy
The Big Green,1995-09-29,Walt Disney,PG,17736619,32170560,Comedy
"Steal Big, Steal Little",1995-09-29,20th Century Fox,PG-13,3150170,5599667,Comedy
Get Shorty,1995-10-20,MGM,R,72021008,130059644,Comedy
Mallrats,1995-10-20,Gramercy,R,2108367,3678752,Comedy
Mighty Aphrodite,1995-10-27,Miramax,R,6401297,11546344,Comedy
Home for the Holidays,1995-11-03,Paramount Pictures,PG-13,17468887,31599008,Comedy
Ace Ventura: When Nature Calls,1995-11-10,Warner Bros.,PG-13,108360063,196399663,Comedy
It Takes Two,1995-11-17,Warner Bros.,PG,19474589,35265239,Comedy
Last Summer in the Hamptons,1995-11-21,Rainbow Releasing,R,648799,1162134,Comedy
Father of the Bride Part II,1995-12-08,Walt Disney,PG,76578911,138199899,Comedy
A Business Affair,1995-12-08,Castle Hill Productions,R,5000,9066,Comedy
Grumpier Old Men,1995-12-22,Warner Bros.,PG-13,71518503,128515318,Comedy
Dracula: Dead and Loving It,1995-12-22,Sony Pictures,PG-13,10660264,19161394,Comedy
Four Rooms,1995-12-25,Miramax,R,4301000,7603877,Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Miramax,R,19674813,35120875,Comedy
Bio-Dome,1996-01-12,MGM,PG-13,13294762,23689275,Comedy
Dunston Checks In,1996-01-12,20th Century Fox,PG,9419316,16772002,Comedy
Gazon maudit,1996-01-12,Miramax,R,888044,1585219,Comedy
Big Bully,1996-01-26,Warner Bros.,PG,2042530,3588980,Comedy
Black Sheep,1996-02-02,Paramount Pictures,PG-13,32330354,57582948,Comedy
Beautiful Girls,1996-02-09,Miramax,R,10523880,18635849,Comedy
A Midwinter's Tale,1996-02-09,Sony Pictures Classics,R,288122,514318,Comedy
Happy Gilmore,1996-02-16,Universal,PG-13,38623460,68907189,Comedy
Down Periscope,1996-03-01,20th Century Fox,PG-13,25723977,45711749,Comedy
The Birdcage,1996-03-08,MGM,R,124060553,221241028,Comedy
Ed,1996-03-15,Universal,PG,3956785,7063128,Comedy
Flirting with Disaster,1996-03-22,Miramax,R,14853474,26244846,Comedy
Girl 6,1996-03-22,Fox Searchlight,R,4880941,8666502,Comedy
Un indien dans la ville,1996-03-22,Walt Disney,PG,1029731,1217466,Comedy
Sgt. Bilko,1996-03-29,Universal,PG,30356589,53804577,Comedy
The Last Supper,1996-04-05,Sony Pictures,R,459749,463995,Comedy
Kids in the Hall: Brain Candy,1996-04-12,Paramount Pictures,R,2640536,4680245,Comedy
Getting Away with Murder,1996-04-12,Savoy,R,197322,227934,Comedy
Celtic Pride,1996-04-19,Walt Disney,PG-13,9240378,16369036,Comedy
Mystery Science Theatre 3000,1996-04-19,Gramercy,PG-13,949745,1695356,Comedy
Il Mostro,1996-04-19,Cinepix Film Properties,R,569901,1017313,Comedy
Dellamorte Dellamore,1996-04-26,October Films,R,253969,356857,Comedy
The Great White Hype,1996-05-03,20th Century Fox,R,7852282,13836945,Comedy
Cold Comfort Farm,1996-05-10,Gramercy,PG,5682429,9699556,Comedy
Welcome to the Dollhouse,1996-05-10,Sony Pictures Classics,R,4198137,7493961,Comedy
Someone Else's America,1996-05-10,October Films,R,154873,276458,Comedy
Flipper,1996-05-17,Universal,PG,20080020,35786531,Comedy
Spy Hard,1996-05-24,Walt Disney,PG-13,26936265,48029105,Comedy
Eddie,1996-05-31,Walt Disney,PG-13,31369401,55853847,Comedy
The Cable Guy,1996-06-14,Sony Pictures,PG-13,60240295,107379744,Comedy
The Search for One-eye Jimmy,1996-06-21,Northern Arts Entertainment,R,5000,8924,Comedy
The Nutty Professor,1996-06-28,Universal,PG-13,128814019,229862021,Comedy
Striptease,1996-06-28,Sony Pictures,R,33109743,58476001,Comedy
Les Visiteurs,1996-07-12,Miramax,R,659000,121301,Comedy
Multiplicity,1996-07-17,Sony Pictures,PG-13,20133326,35883183,Comedy
Kazaam,1996-07-17,Walt Disney,PG,18880508,33637508,Comedy
Kingpin,1996-07-26,MGM,R,25023424,44412431,Comedy
Joe's Apartment,1996-07-26,Warner Bros.,PG-13,4616355,8152098,Comedy
Matilda,1996-08-02,Sony Pictures,PG,33098222,59057628,Comedy
Phat Beach,1996-08-02,Orion Pictures,R,1263945,2256224,Comedy
House Arrest,1996-08-14,MGM,PG,6906987,12309449,Comedy
A Very Brady Sequel,1996-08-23,Paramount Pictures,PG-13,21443204,38196800,Comedy
Carpool,1996-08-23,Warner Bros.,PG,3325651,5906359,Comedy
Freeway,1996-08-23,Roxie Releasing,R,295493,527478,Comedy
First Kid,1996-08-30,Walt Disney,PG,26465920,47210438,Comedy
The Stupids,1996-08-30,New Line,PG,2415593,4311995,Comedy
Bogus,1996-09-06,Warner Bros.,PG,4357406,7748666,Comedy
The First Wives Club,1996-09-20,Paramount Pictures,PG,105489203,188088219,Comedy
When The Cat's Away,1996-09-20,Sony Pictures Classics,R,1652472,2949771,Comedy
D3: The Mighty Ducks,1996-10-04,Walt Disney,PG,22936273,40873490,Comedy
Beautiful Thing,1996-10-09,Sony Pictures Classics,R,1460297,2600347,Comedy
Swingers,1996-10-18,Miramax,R,4505922,8000799,Comedy
High School High,1996-10-25,Sony Pictures,PG-13,20995023,37457657,Comedy
The Associate,1996-10-25,Walt Disney,PG-13,12772657,22774398,Comedy
Twelfth Night: Or What You Will,1996-10-25,Fine Line,PG,588621,844238,Comedy
Larger Than Life,1996-11-01,MGM,PG,8295903,14798161,Comedy
Dear God,1996-11-01,Paramount Pictures,PG,7114089,12684950,Comedy
Mad Dog Time,1996-11-08,MGM,R,80026,142848,Comedy
Blue Juice,1996-11-14,Trimark,R,5000,8924,Comedy
Space Jam,1996-11-15,Warner Bros.,PG,90463534,160884864,Comedy
Jingle All the Way,1996-11-22,20th Century Fox,PG,60592389,107639609,Comedy
101 Dalmatians,1996-11-27,Walt Disney,G,136189294,240974100,Comedy
Mars Attacks!,1996-12-13,Warner Bros.,PG-13,37771017,66606559,Comedy
Beavis and Butt-head Do America,1996-12-20,Paramount Pictures,PG-13,63118386,111135084,Comedy
My Fellow Americans,1996-12-20,Warner Bros.,PG-13,22331846,38995394,Comedy
Michael,1996-12-25,New Line,PG,95370000,165720479,Comedy
Mother,1996-12-25,Paramount Pictures,PG-13,19174217,32880052,Comedy
Beverly Hills Ninja,1997-01-17,Sony Pictures,PG-13,31245344,53692760,Comedy
Fierce Creatures,1997-01-24,Universal,PG-13,9254184,15818969,Comedy
Zeus and Roxanne,1997-01-24,MGM,PG,7183046,12347329,Comedy
Kolya,1997-01-24,Miramax,PG-13,5770254,9850831,Comedy
Meet Wally Sparks,1997-01-31,Trimark,R,4073582,6875149,Comedy
Waiting for Guffman,1997-01-31,Sony Pictures Classics,R,2922988,5024486,Comedy
The Pest,1997-02-07,Sony/TriStar,PG-13,3533790,6027005,Comedy
SubUrbia,1997-02-07,Sony Pictures Classics,R,726207,829681,Comedy
Vegas Vacation,1997-02-14,Warner Bros.,PG,36470465,62620689,Comedy
That Darn Cat,1997-02-14,Walt Disney,PG,18301828,31353605,Comedy
Booty Call,1997-02-26,Sony Pictures,R,20066917,34482306,Comedy
Jungle 2 Jungle,1997-03-07,Walt Disney,PG,59925026,103008376,Comedy
Private Parts,1997-03-07,Paramount Pictures,R,41198146,70817729,Comedy
Liar Liar,1997-03-21,Universal,PG-13,181410615,311810362,Comedy
The Sixth Man,1997-03-28,Walt Disney,PG-13,14765099,25380528,Comedy
BAPS,1997-03-28,New Line,PG-13,7246735,12446664,Comedy
Love and Other Catastrophes,1997-03-28,Fox Searchlight,R,212285,364905,Comedy
McHale's Navy,1997-04-18,Universal,PG,4408420,7509173,Comedy
Romy and Michelle's High School Reunion,1997-04-25,Walt Disney,R,29235353,50245808,Comedy
Children of the Revolution,1997-04-30,Miramax,R,845391,1427774,Comedy
Austin Powers: International Man of Mystery,1997-05-02,New Line,PG-13,53883989,92596677,Comedy
Commandments,1997-05-02,Gramercy,R,548562,839567,Comedy
Father's Day,1997-05-09,Warner Bros.,PG-13,28681080,49264545,Comedy
The Van,1997-05-16,Fox Searchlight,R,621093,1067627,Comedy
Brassed Off,1997-05-23,Miramax,R,2589188,4401334,Comedy
Gone Fishin',1997-05-30,Walt Disney,PG,19745922,33926882,Comedy
Trial And Error,1997-05-30,New Line,PG-13,13602831,23356743,Comedy
Buddy,1997-06-06,Sony Pictures,PG,10067104,17198275,Comedy
My Best Friend's Wedding,1997-06-20,Sony Pictures,PG-13,126813153,217970836,Comedy
Out to Sea,1997-07-02,20th Century Fox,PG-13,28985323,48086315,Comedy
Guantanamera,1997-07-04,Lionsgate,Not Rated,855579,1466885,Comedy
A Simple Wish,1997-07-11,Universal,PG,8165213,13956542,Comedy
George Of The Jungle,1997-07-16,Walt Disney,PG,105263257,180876214,Comedy
Nothing To Lose,1997-07-18,Walt Disney,R,44480039,76454329,Comedy
"Kiss Me, Guido",1997-07-18,Paramount Pictures,R,1916898,3295061,Comedy
Star Maps,1997-07-23,Fox Searchlight,R,592573,1018607,Comedy
Good Burger,1997-07-25,Paramount Pictures,PG,23712993,40740796,Comedy
Box of Moonlight,1997-07-25,Trimark,R,720717,1238880,Comedy
Indian Summer,1997-07-25,First Look,R,294467,506175,Comedy
Air Bud,1997-08-01,Walt Disney,PG,24646936,42337701,Comedy
Love Serenade,1997-08-01,Miramax,R,604523,995852,Comedy
Def Jam's How To Be a Player,1997-08-06,Gramercy,R,14010363,24079854,Comedy
Career Girls,1997-08-08,October Films,R,2506039,4307766,Comedy
The Full Monty,1997-08-13,Fox Searchlight,R,45950122,78441331,Comedy
Leave It To Beaver,1997-08-22,Universal,PG,11307615,19437275,Comedy
Excess Baggage,1997-08-29,Sony Pictures,PG-13,14351432,24627814,Comedy
In & Out,1997-09-19,Paramount Pictures,PG-13,63826569,109699956,Comedy
Soul Food,1997-09-26,20th Century Fox,R,43492389,74746743,Comedy
Rocket Man,1997-10-10,Walt Disney,PG,15448043,26554481,Comedy
The House of Yes,1997-10-10,Miramax,R,617403,1061284,Comedy
Bean,1997-10-17,Gramercy,PG-13,45334169,77857928,Comedy
A Life Less Ordinary,1997-10-24,20th Century Fox,R,4287595,7333479,Comedy
The Man Who Knew Too Little,1997-11-14,Warner Bros.,PG,13801755,23720062,Comedy
Flubber,1997-11-26,Walt Disney,PG,92993801,159449499,Comedy
For Richer or Poorer,1997-12-12,Universal,PG-13,31680796,54075922,Comedy
Home Alone III,1997-12-12,20th Century Fox,PG,30692437,52479822,Comedy
Les Boys,1997-12-12,Distributor Unknown,Not Rated,4602341,7810398,Comedy
Mouse Hunt,1997-12-19,Dreamworks SKG,PG,61894591,105490720,Comedy
Mr. Magoo,1997-12-25,Walt Disney,PG,21437192,36544137,Comedy
Half Baked,1998-01-16,Universal,R,17394881,29068472,Comedy
Spiceworld,1998-01-23,Sony Pictures,PG,29342592,49202987,Comedy
Slappy and the Stinkers,1998-01-23,Sony Pictures,PG,34488,58023,Comedy
Zero Effect,1998-01-30,Sony Pictures,R,2080693,3331529,Comedy
Blues Brothers 2000,1998-02-06,Universal,PG-13,14089198,23517920,Comedy
The Borrowers,1998-02-13,Polygram,PG,22619589,37615102,Comedy
Senseless,1998-02-20,Miramax,R,13109234,21929821,Comedy
Krippendorf's Tribe,1998-02-27,Walt Disney,PG-13,7571115,12642305,Comedy
An Alan Smithee Film: Burn Hollywood Burn,1998-02-27,Walt Disney,R,45779,67294,Comedy
The Big Lebowski,1998-03-06,Universal,R,17498804,29337955,Comedy
Chairman of the Board,1998-03-13,Trimark,PG-13,306715,515990,Comedy
Primary Colors,1998-03-20,Universal,R,39017984,65552708,Comedy
Ride,1998-03-27,Miramax,R,5485295,9212388,Comedy
Meet the Deedles,1998-03-27,Walt Disney,PG,4356126,7320271,Comedy
The Odd Couple II,1998-04-10,Paramount Pictures,PG-13,18912328,31759467,Comedy
My Giant,1998-04-10,Sony Pictures,PG,7985929,13434753,Comedy
24 7: Twenty Four Seven,1998-04-15,October Films,R,72544,122043,Comedy
Paulie,1998-04-17,Dreamworks SKG,PG,27084499,45436758,Comedy
Major League: Back to the Minors,1998-04-17,Warner Bros.,PG-13,3551208,5974205,Comedy
"Dancer, Texas Pop. 81",1998-05-01,Sony Pictures,PG,574838,951495,Comedy
Bulworth,1998-05-15,20th Century Fox,R,26528684,44624483,Comedy
Fear and Loathing in Las Vegas,1998-05-22,Universal,R,10680275,17769132,Comedy
I Got the Hook-Up!,1998-05-27,Miramax,R,10317779,17337028,Comedy
Almost Heroes,1998-05-29,Warner Bros.,PG-13,6175688,10287163,Comedy
Can't Hardly Wait,1998-06-12,Sony Pictures,PG-13,25358996,42628068,Comedy
Dirty Work,1998-06-12,MGM,PG-13,10020081,16782125,Comedy
Cousin Bette,1998-06-12,20th Century Fox,R,1161063,1953256,Comedy
Hav Plenty,1998-06-19,Miramax,R,2301777,3872286,Comedy
Henry Fool,1998-06-19,Sony Pictures Classics,R,1334786,2245518,Comedy
Doctor Dolittle,1998-06-26,20th Century Fox,PG-13,144156605,242514646,Comedy
Smoke Signals,1998-06-26,Miramax,PG-13,6719300,11303900,Comedy
Buffalo '66,1998-06-26,Lionsgate,R,2380606,3668684,Comedy
Small Soldiers,1998-07-10,Dreamworks SKG,PG-13,55143823,91605890,Comedy
Madeline,1998-07-10,Sony Pictures,PG,29858048,50078619,Comedy
Polish Wedding,1998-07-17,Fox Searchlight,PG-13,608296,947376,Comedy
Jane Austen's Mafia,1998-07-24,Walt Disney,PG-13,19843795,33383269,Comedy
The Parent Trap,1998-07-29,Walt Disney,PG,66308518,111543565,Comedy
BASEketball,1998-07-31,Universal,R,7042541,11675496,Comedy
Air Bud: Golden Receiver,1998-08-14,Miramax,G,10093523,16980361,Comedy
Slums of Beverly Hills,1998-08-14,Fox Searchlight,R,5502773,9219552,Comedy
Wrongfully Accused,1998-08-21,Warner Bros.,PG-13,9642860,16156882,Comedy
Strike,1998-08-21,Miramax,Not Rated,968506,1629317,Comedy
Chicago Cab,1998-09-11,Castle Hill Productions,R,5000,8411,Comedy
Pecker,1998-09-25,Fine Line,R,2281761,3835329,Comedy
A Night at the Roxbury,1998-10-02,Paramount Pictures,PG-13,30331165,51015738,Comedy
The Imposters,1998-10-02,Fox Searchlight,R,2197921,3697175,Comedy
Holy Man,1998-10-09,Walt Disney,PG,12069719,20298642,Comedy
Festen,1998-10-09,October Films,R,1647780,2720732,Comedy
